window,total_trades,win_rate,total_return_equity,profit_factor
0,459,0.4008714596949891,-0.6862273465209034,0.5049831845318274
1,430,0.4116279069767442,-0.6331950477802224,0.46136563514449386
2,424,0.41509433962264153,-0.7423342029018216,0.6068435034789423
3,390,0.4205128205128205,-0.4042123584355078,0.6601523901394208
4,476,0.39285714285714285,-1.056594042867818,0.6896713232769104
5,462,0.4393939393939394,-0.5083562798083164,0.6643589697132093
6,393,0.42748091603053434,-0.549031577229152,0.589231616877925
7,378,0.4021164021164021,-0.7144547130503343,0.624337751940191
8,250,0.38,-0.31541168158801164,0.47357546991258576
9,406,0.4039408866995074,-0.5262963386843075,0.474092546978227
10,526,0.44106463878326996,-0.5498036162452635,0.857723727752152
11,386,0.3963730569948187,-0.5164203832886944,0.6851301613519227
